team,year,league,wins,losses,ties,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Team Black Death,2020,NATIONAL,5,8,0,109.05,95.8,116.65,118.25,106.9,100,98.75,85.7,96.2,89.15,112.8,136.25,119.35,91.1,147.25,116.2,
Circle City Phantoms,2020,NATIONAL,6,7,0,75.15,126.3,110.05,131,130.7,101.35,90.2,102.6,99.8,98.3,106.2,120.3,95.25,143.15,143.05,141.7,
Frank's Little Beauties,2020,NATIONAL,9,4,0,153.95,149.45,143.8,107.6,140.95,101,136.85,116.85,57.75,119.15,104.7,98.25,172.95,,154.1,179.8,
CamDelphia,2020,NATIONAL,5,8,0,124.3,95.7,109.1,158.3,136.15,97.55,112.55,108.25,127,49.6,90.75,126.95,66.85,72.8,81.3,108.75,
Team Dogecoin,2021,PREMIER,8,6,0,130.55,107.5,138.75,172.1,137.75,132.25,137.6,119.65,107.5,127.75,77.8,122.5,118.45,122.85,112.7,66.95,175.85
Stone Cold Steve Irwins,2021,PREMIER,6,8,0,116.45,125.25,115.45,130.5,156.5,153.85,105,76.5,109.4,98.9,103.75,109.35,148.25,91.15,76,41.6,89.55
ChicagoPick6,2021,PREMIER,4,10,0,108.05,125.7,116,122.8,82.95,128.15,116.65,84.2,66,44.8,106.05,88.4,111.25,85.35,,144.55,115.45
Team Jacamart,2021,PREMIER,6,8,0,107.95,129.8,97.65,111.15,121.15,92.05,140.7,125.35,115.2,135.95,102.65,97.1,81,94.55,91.1,114,111.65
Big Ten Bandits,2021,PREMIER,7,7,0,150.35,117.15,116.2,99.8,126.1,103.35,96.8,92.65,105.8,55.45,108.6,78.45,83.85,59.25,78.5,95.2,
The Minutemen,2021,PREMIER,8,6,0,132.9,131.35,113.1,93.05,173.1,108.15,151.25,97,117.4,98.55,134.35,135.15,124.55,119.95,100.1,134.75,
Frank's Little Beauties,2021,PREMIER,5,9,0,130.65,150.8,106.2,94.85,164.35,145.45,110.65,133.45,112.8,84.6,147.55,134.5,115,166.15,,143.2,129.2
El Guapo Puto,2021,PREMIER,10,4,0,104.3,108.35,147.8,130.5,123.25,89.55,116.8,132.45,83.7,99.3,114.45,138.3,148.05,157,,146.6,101.6
The Stallions,2021,PREMIER,10,4,0,132.65,100.55,132.6,116.55,157.4,143.15,101.7,121.85,129.7,144.5,161.15,80.85,131.15,99,,100.35,146.6
Act More Stupidly,2021,PREMIER,6,8,0,114.5,66.3,93.1,117.85,122.5,72.65,77.8,105.55,136.45,119.7,85.3,118.55,88.1,122.9,117.6,126.3,
Team Pancake,2021,PREMIER,6,8,0,158.35,101.85,104.1,116.7,134.8,131.55,43.3,91.05,100.9,152.2,92.8,118.85,105.5,118.65,105.75,151.5,
Fort Wayne Banana Bread,2021,PREMIER,8,6,0,113.9,180.25,113.75,115.3,103.2,152.05,129.1,115.85,104.65,99.4,108.15,113.85,131.4,129.45,141,123,119.6
FFUcked Up,2021,NATIONAL,8,6,0,128.5,100.5,113.9,112.95,127.7,111.05,102.2,80.35,113.2,113.3,95.75,107.05,106.75,89.95,117.6,95.15,
CamDelphia,2021,NATIONAL,8,6,0,118.65,139.3,133.55,124.2,103.15,148.25,164.6,123.95,106.4,97.55,132.65,105.3,131.55,176.85,101.4,74.25,133.75
Indianapolis Aztecs,2021,NATIONAL,8,6,0,129.95,149.6,124.9,120.55,101.45,140.65,92.7,110.2,83.1,99.25,116.75,100.2,110.3,168.35,129.8,126.2,145.35
chetmaynard,2021,NATIONAL,10,4,0,123.05,102.65,106.75,113.7,153.6,133.95,104.3,111,126.6,131.1,180.65,114.15,115.65,103.45,,70.8,108.3
Circle City Phantoms,2021,NATIONAL,8,6,0,116.6,97.3,128.95,113.5,126.4,96.05,119.85,95.15,125.85,101.85,141.2,120.95,130.15,138.25,117.5,91.7,
Raging Rhinos,2021,NATIONAL,10,4,0,111.35,128.85,153.4,129.1,139.5,120.05,132.1,115.1,92.6,113.5,138.8,126.05,125.6,130.85,,85.6,127.6
The Ducklings,2021,NATIONAL,6,8,0,128.8,98.6,89.75,133,120.8,100.35,124.15,87,131.4,90.6,75.5,124.6,107.65,107.7,117.9,145.55,
Team Black Death,2021,NATIONAL,4,10,0,116.45,159.15,108.2,141,129.4,154.35,100.75,88.45,65.4,122.7,74.5,114.85,86.9,71.2,,153.3,116.25
Shton's Strikers,2021,NATIONAL,6,8,0,142.1,121.05,93.9,99.95,111.2,117.25,158.85,112.95,85.8,100.35,111.85,74,102.25,85.6,78.4,64.85,90.3
"Blood, Sweat, and Beers",2021,NATIONAL,6,8,0,115.5,115.6,101.5,116.25,118.35,97.65,114.05,100.85,83.5,62.7,104.05,114.5,111.45,96.4,72.8,124.1,91.6
Johnkshire Cats,2021,NATIONAL,7,7,0,128.85,124.6,118.1,89.3,91.45,95.75,98.55,61.8,93.2,140.5,93.75,125.7,99.95,118.25,76.45,112.05,
Dark Knights,2021,NATIONAL,3,11,0,95.35,140.25,82.95,102.75,130.5,110.45,83.55,94.5,107.5,87.6,109.85,81.55,84.85,109.35,,90.45,123.15
Frank's Little Beauties,2022,PREMIER,5,9,0,126.65,142.55,99.5,106.05,80.35,85.8,101.1,121.9,113.95,143.55,121.15,99.3,133.95,85.75,,97.95,144.15
Johnkshire Cats,2022,PREMIER,8,6,0,118,145.35,86.9,129.75,72.1,93.3,118.25,129.25,167.4,131.15,113.05,111.2,120.15,104.8,,120.7,99
The Stallions,2022,PREMIER,7,7,0,122.25,99.65,156.2,97.6,154.4,132.35,128.55,139.9,126.9,123.55,125.65,104.75,116.55,89.75,111.2,82.9,103.35
Team Dogecoin,2022,PREMIER,6,8,0,118.35,95.4,89.85,133.5,144.6,87.8,103.9,102.35,127.85,132.05,117.45,98.8,106.2,123.25,98.8,123.15,107.95
Team Pancake,2022,PREMIER,9,5,0,127.4,133.75,110.6,144.45,133.6,131.5,91.25,129.15,89.05,115.5,124.25,137.95,98.85,74.75,,98.1,106.65
CamDelphia,2022,PREMIER,9,5,0,97.3,111.7,101.15,82.55,91.05,80.45,120.7,147.15,81.2,92.6,123.45,114.1,112.65,71.05,120.8,124.25,164.3
Fort Wayne Banana Bread,2022,PREMIER,4,10,0,132.45,91.2,97.95,113,116.4,90.7,76.95,131.45,87.85,64.6,79.3,105,118.35,116.25,,97.65,101.3
El Guapo Puto,2022,PREMIER,6,8,0,87.15,104.95,138,149.55,130.9,129.45,77.35,123.5,107.85,126.9,112.05,122.65,92.45,114.15,124.5,146,
Indianapolis Aztecs,2022,PREMIER,6,8,0,106.65,107.65,90.7,93.7,105.55,107.95,147,111.45,95.9,88.55,86.1,95.75,126.65,119.75,120.55,124.65,
Raging Rhinos,2022,PREMIER,8,6,0,106.4,117.05,120.95,114.55,96.85,133.5,128.95,110.4,98.4,101.05,119.2,77.55,134.4,137.95,125.9,126.65,
Act More Stupidly,2022,PREMIER,8,6,0,106.45,150.3,121.5,101.2,69.5,115.2,79,131.6,96.05,112.9,91.85,111.7,82.25,73.7,119.5,103.05,
The Minutemen,2022,PREMIER,8,6,0,104.75,107.5,89.95,128.95,153.95,72.55,139.1,139.5,149.65,108.45,128.65,169.95,151.25,129.4,133.7,98.75,91.75
ChicagoPick6,2022,MASTERS,8,6,0,113.6,122.5,120.45,151.85,131.25,84.65,126.7,145.25,88.15,98.2,83.65,113.9,136.05,135.55,130.5,117.35,
"Blood, Sweat, and Beers",2022,MASTERS,2,12,0,97.1,130.15,98.3,101.35,79.05,67.5,70.5,97,87.65,114.65,61.65,134.05,108.2,127.55,,87.8,121.6
Pottsville Maroons,2022,MASTERS,10,4,0,130.8,77.6,112.4,104.7,153.1,132.15,123.4,167.2,101.15,144.05,151.65,115.2,122.35,90.9,,118.25,83.2
Dark Knights,2022,MASTERS,7,7,0,103.35,156.2,149.4,112.4,120.5,99.5,97,81.9,91.75,136.1,104.15,160.5,99.75,104.6,104.85,68.4,
Shton's Strikers,2022,MASTERS,9,5,0,136.95,148.05,107.8,118.85,128,133.55,101.25,100.6,118.25,133.45,113.35,141.05,166.45,90.55,134.8,92.6,102.65
FFUcked Up,2022,MASTERS,7,7,0,108.45,96.4,110.45,135.1,101.8,95,132.05,95.55,105.95,107.85,95.7,108,78.35,97.95,61.95,87.95,132.1
Circle City Phantoms,2022,MASTERS,9,5,0,129,125.95,127,158.55,133.1,110.8,100.85,138.75,118.3,153.75,131.85,128.3,126.95,109.3,141.4,157.1,128.2
Team Jacamart,2022,MASTERS,6,8,0,84.75,81.95,92.5,102.55,81.45,98.85,103.35,144.8,130.05,69.35,106.7,97.05,101.6,136.7,115.1,126.65,79.4
TKO Blow,2022,MASTERS,6,8,0,129.85,100.45,122.5,110,135.85,122.3,112.9,120,102.25,100.15,92.8,79.05,130,158.45,164.85,134,
Birds of War,2022,MASTERS,3,11,0,93.2,139.4,83.45,66.1,103.2,94.05,46.8,125.35,60.4,75.6,110.25,90,87.35,96.4,,102.85,131.55
Stark Direwolves,2022,MASTERS,11,3,0,127.8,115.35,95.65,95.25,129.15,113.1,151.35,129.5,131.8,140.85,133.65,116.1,134.6,87.55,,105.65,83.1
Team Black Death,2022,MASTERS,6,8,0,125.85,94.25,115.1,103.35,90.8,85.9,57.3,130.2,122.05,104.8,84.5,92.45,79.35,82.05,102.25,96.2,
MustachePapi,2022,NATIONAL,5,9,0,110.95,95.4,110.5,116.8,103.75,97.3,97.8,110.7,94.95,93.25,76.45,89.25,102.85,141.15,124.5,127.55,
Crawfordsville's Finest,2022,NATIONAL,2,12,0,100.65,91.25,61.1,86.15,89.9,98.8,118.8,90.7,94.75,98.7,162.8,92.95,114.05,108.65,,135.45,137.5
Nighthawks,2022,NATIONAL,7,7,0,112.75,132.3,102.95,109.3,97.6,81.1,112.95,109.85,132.3,113.65,71.1,117.15,106.65,127.45,83.35,123.8,
arcorey15,2022,NATIONAL,6,8,0,98.55,115.65,111.25,125.5,103.5,85.65,113.4,161.9,82.75,78.85,88.95,84.4,128.25,120.4,115.9,60.05,157.15
Boca Ciega Banditos,2022,NATIONAL,11,3,0,140.1,133.65,103.8,130.55,113.5,121.6,139.65,127.65,104.1,120.25,106.75,97.5,155.55,99.7,,130.6,89.6
The Riveters,2022,NATIONAL,9,5,0,77.1,182.3,127.75,85.5,95.6,87.15,94.25,119.05,128.45,123.05,139.35,127.15,70.95,92,112.3,101.55,
Show Biz Kitten,2022,NATIONAL,10,4,0,128.75,128.95,98.4,131.8,100.25,114.25,119.7,137.95,165.8,98.75,114.2,153.25,103.4,98.35,117.25,87.3,88.1
LegendsRise,2022,NATIONAL,3,11,0,75.25,77.3,112.15,104.95,126,98.6,120.5,150.2,84.45,87.3,111.65,75.4,92.45,105.7,,94.7,95.75
Malibu Leopards,2022,NATIONAL,8,6,0,147.8,152.65,111.45,118.55,92.55,118.6,93.55,121.1,96.8,123.8,89.25,119.4,138.2,93.85,128,136.25,92.6
The Tooth Tuggers,2022,NATIONAL,7,7,0,110.9,98.65,86.3,131.35,108.2,76.3,133.55,151.9,92.85,153.05,109.5,159.95,120.4,119.8,106.9,127.55,114.3
The (Teddy) Bears,2022,NATIONAL,10,4,0,125.45,119.55,135.3,127.25,206.1,125.75,97.3,84.1,138.55,115.9,137.75,119.05,173.35,104.45,,84.5,61.45
The Gaston Ramblers,2022,NATIONAL,6,8,0,123.35,119.5,130.45,109.3,114.2,94.45,98.75,112.85,100.85,93.2,96.85,105.25,70.2,63.65,124.05,92,
Circle City Phantoms,2023,PREMIER,6,8,0,75.7,78.3,106.85,96,119.95,106.65,84.9,147.85,125.5,111.45,74.15,98.65,104.95,85.1,118.3,130.85,
