Pick,Player,Team,Keeper,Note,Misc,Manage
12.5 (137),Danny Amendola · WR · (MIA),Team Team Casa,--,--,,Open options
12.6 (138),Chris Boswell · K · (PIT),Stark Direwolves,--,--,,Open options
12.7 (139),Matt Bryant · K · (ATL),Team Black Death,--,--,,Open options
12.8 (140),Michael Gallup · WR · (DAL),The Well Done Stakes,--,--,,Open options
12.9 (141),John Ross · WR · (CIN),Team Dogecoin,--,--,,Open options
12.10 (142),O.J. Howard · TE · (TB),Oklahoma Banana Bread,--,--,,Open options
12.11 (143),D.J. Moore · WR · (DAL),Great Team Name,--,--,,Open options
12.12 (144),Jordan Wilkins · RB · (IND),CreamOfTheCrop Macho Men,--,--,,Open options
13.1 (145),Dez Bryant · WR · (FA),CreamOfTheCrop Macho Men,--,--,,Open options
13.2 (146),New Orleans Saints · DEF · (NO),Great Team Name,--,--,,Open options
13.3 (147),Mike Williams · WR · (LAC),Oklahoma Banana Bread,--,--,,Open options
13.4 (148),Christian Kirk · WR · (ARI),Team Dogecoin,--,--,,Open options
13.5 (149),DeSean Jackson · WR · (TB),The Well Done Stakes,--,--,,Open options
13.6 (150),C.J. Anderson · RB · (CAR),Team Black Death,--,--,,Open options
13.7 (151),Denver Broncos · DEF · (DEN),Stark Direwolves,--,--,,Open options
13.8 (152),Rishard Matthews · WR · (FA),Team Team Casa,--,--,,Open options
13.9 (153),John Brown · WR · (BAL),Goat Emoji,--,--,,Open options
13.10 (154),Wil Lutz · K · (NO),Gingy Flame,--,--,,Open options
13.11 (155),Theo Riddick · RB · (DET),Speedway's Ritual Cog,--,--,,Open options
13.12 (156),Matt Ryan · QB · (ATL),Team Painter Pick 6,--,--,,Open options
14.1 (157),Chris Godwin · WR · (TB),Team Painter Pick 6,--,--,,Open options
14.2 (158),Justin Tucker · K · (BAL),Speedway's Ritual Cog,--,--,,Open options
14.3 (159),Aaron Jones · RB · (MIN),Gingy Flame,--,--,,Open options
14.4 (160),Jimmy Garoppolo · QB · (SF),Goat Emoji,--,--,,Open options
14.5 (161),Patrick Mahomes · QB · (KC),Team Team Casa,--,--,,Open options
14.6 (162),Courtland Sutton · WR · (DEN),Stark Direwolves,--,--,,Open options
14.7 (163),Willie Snead · WR · (BAL),Team Black Death,--,--,,Open options
14.8 (164),Tennessee Titans · DEF · (TEN),The Well Done Stakes,--,--,,Open options
14.9 (165),Philip Rivers · QB · (LAC),Team Dogecoin,--,--,,Open options
14.10 (166),Latavius Murray · RB · (MIN),Oklahoma Banana Bread,--,--,,Open options
14.11 (167),Marcus Mariota · QB · (TEN),Great Team Name,--,--,,Open options
14.12 (168),Baker Mayfield · QB · (TB),CreamOfTheCrop Macho Men,--,--,,Open options
15.1 (169),Robbie Gould · K · (SF),CreamOfTheCrop Macho Men,--,--,,Open options
15.2 (170),Adam Vinatieri · K · (IND),Great Team Name,--,--,,Open options
15.3 (171),Harrison Butker · K · (KC),Oklahoma Banana Bread,--,--,,Open options
15.4 (172),Eric Ebron · TE · (IND),Team Dogecoin,--,--,,Open options
15.5 (173),Jake Elliott · K · (PHI),The Well Done Stakes,--,--,,Open options
15.6 (174),Nick Chubb · RB · (CLE),Team Black Death,--,--,,Open options
15.7 (175),Mitchell Trubisky · QB · (CHI),Stark Direwolves,--,--,,Open options
15.8 (176),Devontae Booker · RB · (DEN),Team Team Casa,--,--,,Open options
15.9 (177),Matt Prater · K · (DET),Goat Emoji,--,--,,Open options
15.10 (178),Tyrod Taylor · QB · (CLE),Gingy Flame,--,--,,Open options
15.11 (179),Carolina Panthers · DEF · (CAR),Speedway's Ritual Cog,--,--,,Open options
15.12 (180),Graham Gano · K · (CAR),Team Painter Pick 6,--,--,,Open options
